Name;Essentials;Product Collection;Vertical Segment;Processor Number;Off Roadmap;Status;Launch Date;Lithography;Use Conditions;Recommended Customer Price;Performance;# of Cores;# of Threads;Processor Base Frequency;Max Turbo Frequency;Cache;# of UPI Links;TDP;Supplemental Information;Embedded Options Available;Datasheet;Memory Specifications;Memory Types;Maximum Memory Speed;Max # of Memory Channels;Max Memory Size (dependent on memory type);ECC Memory Supported ‡;IntelÂ® Optaneâ„¢ DC Persistent Memory Supported;Package Specifications;Max CPU Configuration;Sockets Supported;TCASE;Package Size;Advanced Technologies;Intel® Speed Shift Technology;Intel® Turbo Boost Technology ‡;Intel® Hyper-Threading Technology ‡;Intel® Virtualization Technology (VT-x) ‡;Intel® Transactional Synchronization Extensions;Intel® 64 ‡;Instruction Set Extensions;# of AVX-512 FMA Units;Intel® Volume Management Device (VMD);IntelÂ® Deep Learning Boost (IntelÂ® DL Boost);IntelÂ® Speed Select Technology - Performance Profile;IntelÂ® Speed Select Technology - Base Frequency;IntelÂ® Resource Director Technology (IntelÂ® RDT);IntelÂ® Turbo Boost Max Technology 3.0 ‡;IntelÂ® vProâ„¢ Platform Eligibility ‡;IntelÂ® Virtualization Technology for Directed I/O (VT-d) ‡;IntelÂ® VT-x with Extended Page Tables (EPT) ‡;Enhanced Intel SpeedStepÂ® Technology;Security & Reliability;Intel® Trusted Execution Technology ‡;Intel® Run Sure Technology;Mode-based Execute Control (MBE);IntelÂ® AES New Instructions;Execute Disable Bit ‡;Expansion Options;Scalability;PCI Express Revision;Max # of PCI Express Lanes
Intel® Xeon® Gold 6238R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6238R;No;Launched;Q1'20;14 nm;;$2612.00 - $2618.00;;28;56;2.20 GHz;4.00 GHz;38.5 MB;2;165 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;89°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Gold 6238L Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6238L;No;Launched;Q2'19;14 nm;;$5615.00;;22;44;2.10 GHz;3.70 GHz;30.25 MB;3;140 W;;No;;;DDR4-2933;2933 MHz;6;4.5 TB;Yes;Yes;;;FCLGA3647;92°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6238 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6238;No;Launched;Q2'19;14 nm;;$2612.00 - $2618.00;;22;44;2.10 GHz;3.70 GHz;30.25 MB;3;140 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;92°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6234 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6234;No;Launched;Q2'19;14 nm;;$2214.00 - $2220.00;;8;16;3.30 GHz;4.00 GHz;24.75 MB;3;130 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;79°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6230T Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6230T;No;Launched;Q2'19;14 nm;;$1988.00;;20;40;2.10 GHz;3.90 GHz;27.5 MB;3;125 W;;Yes;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;92°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6230N Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6230N;No;Launched;Q2'19;14 nm;;$1452.00;;20;40;2.30 GHz;3.50 GHz;27.5 MB;3;125 W;;Yes;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;78°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6230R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6230R;No;Launched;Q1'20;14 nm;;$1894.00 - $1900.00;;26;52;2.10 GHz;4.00 GHz;35.75 MB;2;150 W;;Yes;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;85°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Gold 6230 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6230;No;Launched;Q2'19;14 nm;Server/Enterprise;$1894.00 - $1900.00;;20;40;2.10 GHz;3.90 GHz;27.5 MB;3;125 W;;Yes;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;87°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6226R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6226R;No;Launched;Q1'20;14 nm;;$1300.00 - $1306.00;;16;32;2.90 GHz;3.90 GHz;22 MB;2;150 W;;Yes;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;85°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Gold 6226 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6226;No;Launched;Q2'19;14 nm;Server/Enterprise;$1776.00;;12;24;2.70 GHz;3.70 GHz;19.25 MB;3;125 W;;Yes;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;86°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6222V Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6222V;No;Launched;Q2'19;14 nm;;$1600.00;;20;40;1.80 GHz;3.60 GHz;27.5 MB;3;115 W;;No;;;DDR4-2400;2400 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;83°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6208U Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6208U;No;Launched;Q1'20;14 nm;;$989.00;;16;32;2.90 GHz;3.90 GHz;22 MB;0;150 W;;Yes;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;85°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;1S Only;3;48
Intel® Xeon® Gold 5222 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5222;No;Launched;Q2'19;14 nm;;$1221.00;;4;8;3.80 GHz;3.90 GHz;16.5 MB;2;105 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;72°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5220T Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5220T;No;Launched;Q2'19;14 nm;;$1727.00;;18;36;1.90 GHz;3.90 GHz;24.75 MB;2;105 W;;Yes;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;93°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5220S Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5220S;No;Launched;Q2'19;14 nm;;$2000.00;;18;36;2.70 GHz;3.90 GHz;24.75 MB;2;125 W;;No;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;87°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5220R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5220R;No;Launched;Q1'20;14 nm;;$1555.00 - $1561.00;;24;48;2.20 GHz;4.00 GHz;35.75 MB;2;150 W;;No;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;86°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Gold 5220 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5220;No;Launched;Q2'19;14 nm;;$1555.00 - $1561.00;;18;36;2.20 GHz;3.90 GHz;24.75 MB;2;125 W;;No;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;87°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5218T Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5218T;No;Launched;Q2'19;14 nm;Communications Commercial Temp;$1349.00;;16;32;2.10 GHz;3.80 GHz;22 MB;2;105 W;;Yes;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;93°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5218R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5218R;No;Launched;Q1'20;14 nm;;$1273.00 - $1280.00;;20;40;2.10 GHz;4.00 GHz;27.5 MB;2;125 W;;No;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;87°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Gold 5218N Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5218N;No;Launched;Q2'19;14 nm;;$1218.00;;16;32;2.30 GHz;3.70 GHz;22 MB;2;110 W;;Yes;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;81°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5218B Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5218B;No;Launched;Q2'19;14 nm;;$1273.00;;16;32;2.30 GHz;3.90 GHz;22 MB;2;125 W;;No;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;87°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5218 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5218;No;Launched;Q2'19;14 nm;;$1273.00 - $1280.00;;16;32;2.30 GHz;3.90 GHz;22 MB;2;125 W;;No;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;87°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5217 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5217;No;Launched;Q2'19;14 nm;;$1522.00;;8;16;3.00 GHz;3.70 GHz;11 MB;2;115 W;;No;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;79°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5215L Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5215L;No;Launched;Q2'19;14 nm;;$4224.00;;10;20;2.50 GHz;3.40 GHz;13.75 MB;2;85 W;;No;;;DDR4-2667;2667 MHz;6;4.5 TB;Yes;Yes;;;FCLGA3647;77°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 5215 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;5215;No;Launched;Q2'19;14 nm;Server/Enterprise;$1221.00;;10;20;2.50 GHz;3.40 GHz;13.75 MB;2;85 W;;Yes;;;DDR4-2667;2667 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;77°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Silver 4216 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4216;No;Launched;Q2'19;14 nm;Server/Enterprise;$900.00;;16;32;2.10 GHz;3.20 GHz;22 MB;2;100 W;;Yes;;;DDR4-2400;2400 MHz;6;1 TB;Yes;No;;;FCLGA3647;79°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4215R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4215R;No;Launched;Q1'20;14 nm;;$794.00;;8;16;3.20 GHz;4.00 GHz;11 MB;2;130 W;;Yes;;;DDR4-2400;2400 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;79°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4215 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4215;No;Launched;Q2'19;14 nm;Server/Enterprise;$562.00;;8;16;2.50 GHz;3.50 GHz;11 MB;2;85 W;;Yes;;;DDR4-2400;2400 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;77°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4214Y Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4214Y;No;Launched;Q2'19;14 nm;;$768.00;;12;24;2.20 GHz;3.20 GHz;16.5 MB;2;85 W;;No;;;DDR4-2400;2400 MHz;6;1 TB;Yes;No;;;FCLGA3647;77°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4214R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4214R;No;Launched;Q1'20;14 nm;;$694.00 - $705.00;;12;24;2.40 GHz;3.50 GHz;16.5 MB;2;100 W;;Yes;;;DDR4-2400;2400 MHz;6;1 TB;Yes;No;;;FCLGA3647;79°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4214 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4214;No;Launched;Q2'19;14 nm;Server/Enterprise;$694.00 - $704.00;;12;24;2.20 GHz;3.20 GHz;16.5 MB;2;85 W;;Yes;;;DDR4-2400;2400 MHz;6;1 TB;Yes;No;;;FCLGA3647;77°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4210T Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4210T;No;Launched;Q1'20;14 nm;;$555.00;;10;20;2.30 GHz;3.20 GHz;13.75 MB;2;95 W;;Yes;;;DDR4-2400;2400 MHz;6;1 TB;Yes;No;;;FCLGA3647;91°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4210R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4210R;No;Launched;Q1'20;14 nm;;$501.00 - $511.00;;10;20;2.40 GHz;3.20 GHz;13.75 MB;2;100 W;;Yes;;;DDR4-2400;2400 MHz;6;1 TB;Yes;No;;;FCLGA3647;84°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4210 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4210;No;Launched;Q2'19;14 nm;Server/Enterprise;$501.00 - $511.00;;10;20;2.20 GHz;3.20 GHz;13.75 MB;2;85 W;;Yes;;;DDR4-2400;2400 MHz;6;1 TB;Yes;No;;;FCLGA3647;78°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4209T Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4209T;No;Launched;Q2'19;14 nm;Communications Commercial Temp;$501.00;;8;16;2.20 GHz;3.20 GHz;11 MB;2;70 W;;Yes;;;DDR4-2400;2400 MHz;6;1 TB;Yes;No;;;FCLGA3647;91°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Silver 4208 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;4208;No;Launched;Q2'19;14 nm;;$417.00 - $428.00;;8;16;2.10 GHz;3.20 GHz;11 MB;2;85 W;;No;;;DDR4-2400;2400 MHz;6;1 TB;Yes;No;;;FCLGA3647;78°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Bronze 3206R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;3206R;No;Launched;Q1'20;14 nm;;$306.00 - $317.00;;8;8;1.90 GHz;1.90 GHz;11 MB;2;85 W;;No;;;DDR4-2133;2133 MHz;6;1 TB;Yes;No;;;FCLGA3647;78°C;76.0mm x 56.5mm;;Yes;No;No;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Bronze 3204 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;3204;No;Launched;Q2'19;14 nm;;$213.00 - $224.00;;6;6;1.90 GHz;1.90 GHz;8.25 MB;2;85 W;;No;;;DDR4-2133;2133 MHz;6;1 TB;Yes;No;;;FCLGA3647;77°C;76.0mm x 56.5mm;;Yes;No;No;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;1;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;2S;3;48
